"BACKSPACE_COUNT","CAC","CAR","CAT_R","CCC","CONDITION","CORRECTED_ERROR_RATE","CPS","ERROR_RATE","TEST_ID","INPUT_TIME","IS_LENGTH","KEYSTROKES_PER_CHARACTER","LEVENSHTEIN_DELETION","LEVENSHTEIN_INSERTION","LEVENSHTEIN_SUBSTITUTION","MINIMUM_STRING_DISTANCE","PHRASE_NUMBER","PT","PT_LENGTH","PARTICIPANT_ID","TOTAL_ERROR_RATE","TOTAL_PHRASES","TT","TT_LENGTH","T_CAT","VST","WPM","DATE"
1,1,3.2258064516129,9.40127388535032,0,"normal",3.33333333333333,7.13375796178344,0,"kqMna9qVOShlqvQ9xYsO",3.925,31,1.06896551724138,0,0,0,0,7,"we are subjects and must obey",29,"2k6c3UE1moGMXX5sANSS",3.33333333333333,12,"we are subjects and must obey",29,0.369,451,85.6050955414013,2022-02-09 09:56:11
0,0,0,0,0,"normal",0,3.97050482132728,0,"kqMna9qVOShlqvQ9xYsO",5.289,22,1,0,0,0,0,6,"love means many things",22,"2k6c3UE1moGMXX5sANSS",0,12,"love means many things",22,0,1389,47.6460578559274,2022-02-09 09:56:11
2,2,6.66666666666667,14.6788990825688,0,"normal",7.14285714285714,5.73394495412844,0,"kqMna9qVOShlqvQ9xYsO",4.36,30,1.15384615384615,0,0,0,0,5,"always cover all the bases",26,"2k6c3UE1moGMXX5sANSS",7.14285714285714,12,"always cover all the bases",26,0.64,172,68.8073394495413,2022-02-09 09:56:11
2,2,5.55555555555556,12.4105011933174,0,"enhanced",5.88235294117647,8.22063113232564,3.125,"oRp2fs4YZwAP7pmDDr3n",3.771,36,1.125,1,0,0,3.125,2,"i am wearing a tie and a jacket",31,"2k6c3UE1moGMXX5sANSS",8.82352941176471,12,"i am wearing a thie and a jacket",32,0.468,117,98.6475735879077,2022-02-09 09:57:35
0,0,0,0,0,"enhanced",0,3.35161486898233,5.88235294117647,"oRp2fs4YZwAP7pmDDr3n",9.846,34,1,1,1,0,5.88235294117647,1,"good jobs for those with education",34,"2k6c3UE1moGMXX5sANSS",5.88235294117647,12,"good jobs for those with edcuation",34,0,241,40.2193784277879,2022-02-09 09:57:35
1,1,3.125,7.63819095477387,0,"enhanced",3.2258064516129,7.28643216080402,0,"oRp2fs4YZwAP7pmDDr3n",3.98,32,1.06666666666667,0,0,0,0,4,"physics and chemistry are hard",30,"2k6c3UE1moGMXX5sANSS",3.2258064516129,12,"physics and chemistry are hard",30,0.304,90,87.4371859296483,2022-02-09 09:57:35
1,1,2.94117647058824,8.4617464179508,0,"enhanced",3.03030303030303,8.38064341713977,0,"oRp2fs4YZwAP7pmDDr3n",3.699,34,1.0625,0,0,0,0,3,"the collapse of the roman empire",32,"2k6c3UE1moGMXX5sANSS",3.03030303030303,12,"the collapse of the roman empire",32,0.313,213,100.567721005677,2022-02-09 09:57:35
6,6,14.6341463414634,21.7865729609765,0,"enhanced",17.1428571428571,5.17847235065656,0,"oRp2fs4YZwAP7pmDDr3n",5.407,41,1.41379310344828,0,0,0,0,5,"head shoulders knees and toes",29,"2k6c3UE1moGMXX5sANSS",17.1428571428571,12,"head shoulders knees and toes",29,1.178,165,62.1416682078787,2022-02-09 09:57:35
1,1,3.44827586206897,5.96433695429391,0,"enhanced",3.7037037037037,5.12400081984013,0,"oRp2fs4YZwAP7pmDDr3n",4.879,29,1.11538461538462,0,0,0,0,7,"where can my little dog be",26,"2k6c3UE1moGMXX5sANSS",3.7037037037037,12,"where can my little dog be",26,0.291,338,61.4880098380816,2022-02-09 09:57:35
0,0,0,0,0,"enhanced",0,7.18968069359273,0,"oRp2fs4YZwAP7pmDDr3n",4.729,35,1,0,0,0,0,6,"bank transaction was not registered",35,"2k6c3UE1moGMXX5sANSS",0,12,"bank transaction was not registered",35,0,80,86.2761683231127,2022-02-09 09:57:35
