"PARTICIPANT_ID","NUMBER_OF_PHRASES","AVG_PT_LENGTH","AVG_TT_LENGTH","AVG_WPM","AVG_CPS","AVG_KSPC","AVG_ER","AVG_C_ER","AVG_T_ER","AVG_BC","AVG_INPUT_TIME","AVG_VST","AGE","AVG_DAILY_TYPING","ENGLISH_USE","GENDER","IS_TYPIST","KEYBOARD_LAYOUT","KEYBOARD_PROFILE","NATIVE_LANGUAGE","TOUCH_TYPING_COURSE","USED_FINGERS","USED_HAND","EXPERIENCED"
"1N8UzywCgZLplZWpjmhN",33,29.5151515151515,29.5151515151515,41.8196233317009,3.48496861097508,1.06185778741375,0.188668292116568,2.27421419934789,2.44496937010306,0.848484848484849,9.86645454545454,937.636363636364,25,1,"usually","m",FALSE,"qwertz","high","german",FALSE,10,"both","yes"
"2BYHrlcS9UljeLxeZvh5",33,28.5757575757576,28.5454545454545,48.0536084931536,4.00446737442947,1.08310577291744,1.7241221473702,3.21503666209959,4.79956776530886,1.15151515151515,7.65548484848485,293.242424242424,27,3,"always","w",TRUE,"qwertz","low","romanian, moldavian, moldovan",FALSE,6,"both","yes"
"2k6c3UE1moGMXX5sANSS",33,28.9393939393939,28.8484848484848,81.8695082862041,6.82245902385034,1.0655534180449,1.64467907489063,2.6924993412196,4.30122902838066,0.878787878787879,4.81045454545455,360.909090909091,24,2,"usually","m",TRUE,"qwerty","high","german",FALSE,10,"both","yes"
"42Qb5LyAPE3NXNdu3AAl",33,29.1515151515152,29.3333333333333,61.1853038304746,5.09877531920622,1.21726610579619,1.76198911575365,8.92247387602803,10.5676310145118,3.15151515151515,6.46760606060606,272,21,2,"always","m",TRUE,"qwerty","high","german",TRUE,10,"both","yes"
"9deJ2qtKLvuqMc8ktWe9",33,28.0909090909091,28.030303030303,36.6764179739842,3.05636816449869,1.30622697655859,2.24385761576124,12.163362669121,14.1104871640709,4.15151515151515,9.20690909090909,257.909090909091,24,5,"usually","m",FALSE,"qwertz","low","german",FALSE,8,"both","no"
"aEiApHfpgZRT6wH5qBTu",33,28.5757575757576,28.5454545454545,40.014134305169,3.33451119209742,1.06479898999377,2.30522914317693,2.85862596028131,5.04572663201294,0.878787878787879,8.70390909090909,352.424242424242,21,5,"rarely","w",FALSE,"qwertz","low","german",FALSE,7,"both","no"
"bEm4bVotxdvnkHEYzzi5",33,28.3939393939394,28.4545454545455,36.3691727712473,3.03076439760394,1.1556978692988,0.944862087335206,6.27425761883289,7.10770230308403,2.06060606060606,10.7769696969697,763.787878787879,22,3,"rarely","m",FALSE,"qwertz","low","italian",FALSE,6,"both","yes"
"CGXxAdVrqubyUvVvjLHP",33,29.2727272727273,29.4242424242424,22.6218245977306,1.88515204981088,1.01298828459748,0.692195753074369,0.483859574768666,1.17139332318103,0.151515151515152,17.8065151515151,1395.21212121212,28,2,"usually","w",FALSE,"qwertz","low","kirghiz, kyrgyz",FALSE,5,"right","no"
"EkyhvCQpfogVRdxisVhh",33,29.030303030303,29.3636363636364,30.193456897456,2.51612140812133,1.16862425901001,1.82062516688468,7.06196356865312,8.66799317039057,2.39393939393939,11.8646666666667,1249.33333333333,21,6,"usually","m",FALSE,"qwerty","low","spanish; castilian",FALSE,4,"both","no"
"G5GbEAE7kabhS3jAzlXa",33,27.9393939393939,27.8787878787879,37.9856566385546,3.16547138654622,1.02199603048211,0.501639774367047,0.894784681600951,1.38401114141565,0.272727272727273,9.74224242424242,601.575757575758,28,10,"sometimes","m",FALSE,"qwertz","low","german",FALSE,7,"both","no"
"Geh7YCJgogwkQEr2DV4k",33,27.0909090909091,26.8181818181818,63.9907926512947,5.33256605427456,1.18298940679572,2.20525975892009,6.97438178879213,8.91178790610829,2.51515151515152,5.60009090909091,217.121212121212,23,4,"sometimes","w",FALSE,"qwertz","low","vietnamese",FALSE,4,"both","yes"
"hYt8RzR12FUutgCgq7Ou",33,29.4242424242424,29.4242424242424,40.6786934067485,3.38989111722904,1.16444831913257,2.88853445944164,6.46077380105168,9.03293336541267,2.15151515151515,8.77933333333333,442.181818181818,21,1,"sometimes","w",FALSE,"qwertz","low","german",FALSE,4,"both","no"
"jQ2fEW8ELtGUcBqGY7YI",33,26.7575757575758,26.7272727272727,30.009635686691,2.50080297389092,1.12535113787152,1.08927393566324,4.9529451826617,5.9162577588775,1.6969696969697,10.9790303030303,465.454545454545,25,1,"sometimes","m",FALSE,"qwertz","low","german",FALSE,4,"both","no"
"lqKChKGGMFNaGvLCZhva",33,30.2424242424242,30.3030303030303,52.5092585270657,4.37577154392214,1.09645208709162,0.181277056277056,3.96407291460767,4.1424803657424,1.33333333333333,7.51966666666667,572,25,2,"rarely","m",FALSE,"qwertz","low","albanian",FALSE,8,"both","yes"
"og7wp8U4vBYG9qzI5h8C",33,28.6666666666667,28.6969696969697,48.2626214064702,4.02188511720585,1.09196212288299,0.57710947862463,3.58694593740909,4.15091356872874,1.15151515151515,7.51712121212121,482.939393939394,23,2,"sometimes","m",FALSE,"qwertz","high","german",FALSE,4,"both","yes"
"ojX5Z7on5WrrxvLJMqmq",33,28.4545454545455,28.4848484848485,42.7190998893681,3.55992499078068,1.22876538256433,0.599747474747475,6.69329958878697,7.29017745839211,3.06060606060606,9.16290909090909,421.575757575758,21,1,"sometimes","m",FALSE,"qwertz","low","german",FALSE,8,"both","no"
"PGoFJfv5DkGCCwhe1tc9",33,29.969696969697,30.0909090909091,64.3041278418246,5.35867732015205,1.14972010795892,0.537551724491461,6.49138128282286,6.99590060120235,2.18181818181818,5.82212121212121,209.030303030303,22,1,"sometimes","m",TRUE,"qwertz","low","german",FALSE,10,"both","yes"
"TDU9VfCeqMZpsWliRv2j",33,29.030303030303,29.0909090909091,48.5199885476758,4.04333237897299,1.13524747683988,0.778873352505891,5.65702719929815,6.37466105418691,1.90909090909091,7.62069696969697,383.939393939394,24,5,"sometimes","m",FALSE,"qwertz","high","german",TRUE,7,"both","yes"
"udhdb5vpndQsjGcygZec",33,30.1515151515152,30.1515151515152,41.5632010188134,3.46360008490112,1.22827479188384,0.385640082034769,8.50511264791409,8.82758874579126,3.21212121212121,9.59493939393939,276.666666666667,23,8,"usually","m",TRUE,"qwertz","low","german",TRUE,10,"both","no"
"ZWH1by2chTTjxC5xBonl",33,28.1515151515152,28.3636363636364,32.5688666178371,2.71407221815309,1.08309351608939,1.22619253581045,3.21184623134751,4.40472903292596,1.06060606060606,11.5994545454545,440.939393939394,24,2,"sometimes","m",FALSE,"qwertz","low","german",FALSE,6,"both","no"
